"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Spruce_Biomass_kg","Mean_Plot_Spruce_Biomass_kg_m2"
"247","Hedmark","fet_3","FKB","B",4,3.07484875,0.244688688911218
"248","Trøndelag","selbu_flub","FLB","B",4,3.638376875,0.289532832243747
"249","Trøndelag","hi_tydal","HIB","B",4,0.88422625,0.070364489249555
"250","Hedmark","halvard_pramhus","HPB","B",4,1.2229125,0.0973162846719337
"251","Hedmark","kongsvinger 1","IAAB","B",4,11.0825325,0.88191991467579
"252","Hedmark","kongsvinger 2","JCDB","B",4,0.45750375,0.0364069916477893
"253","Trøndelag","selbu_kl","KLB","B",4,1.631365,0.129819901868555
"254","Trøndelag","singsaas","LAB","B",4,1.2287175,0.097778231894258
"255","Trøndelag","malvik","MAB","B",4,3.16128125,0.251566768720613
"256","Hedmark","nes 2","OLB","B",4,0.33162875,0.0263901774169432
"257","Hedmark","stig_dahlen","SDB","B",4,2.225230625,0.177078226744109
"258","Trøndelag","sl_tydal","SEB","B",4,0.731900625,0.0582428011603988
"259","Hedmark","sørum 1","SKB","B",4,1.17896833333333,0.0938193189994067
"260","Trøndelag","selbu_sl","SLB","B",4,1.75288625,0.139490255682658
"261","Hedmark","stangeskovene_aurskog","SSAB","B",4,0.0579575,0.00461211130712426
"262","Hedmark","stangeskovene_eidskog","SSBB","B",4,4.4704275,0.355745317179472
"263","Hedmark","eidskog","STSKNB","B",4,2.505058125,0.199346191663132
"264","Hedmark","truls_holm","THB","B",4,0.98873,0.0786806334416248
"265","Trøndelag","steinkjer_1bbb","1BBUB","UB",4,2.28408,0.181761311208668
"266","Telemark","nome_cappelen1","1CAUB","UB",4,1.2610025,0.100347390563119
"267","Telemark","drangedal1","1DRUB","UB",4,0.8803225,0.0700538386950075
"268","Telemark","fritsoe1","1FRUB","UB",4,3.42612,0.272641966813002
"269","Telemark","furesdal","1FYUB","UB",4,5.51986,0.439256502087615
