"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Decid_Biomass_kg","Mean_Plot_Decid_Biomass_kg_m2"
"167","Telemark","kviteseid3","3KVUB","UB",3,1.069172575,0.0850820501647701
"168","Telemark","notodden3","3NOUB","UB",3,0.4429154,0.035246087640762
"169","Telemark","drangedal4","4DRUB","UB",3,2.762034075,0.21979568801225
"170","Telemark","notodden5","5NOUB","UB",3,0.628084175,0.0499813505645225
"171","Telemark","notodden6","6NOUB","UB",3,0.507220233333333,0.0403633036856123
"172","Trøndelag","bratsberg","BRUB","UB",3,3.324583275,0.264561930968446
"173","Hedmark","didrik_holmsen","DHUB","UB",3,0.192751666666667,0.0153386902696007
"174","Hedmark","fet_3","FKUB","UB",3,0.652297975,0.0519082235450418
"175","Trøndelag","selbu_flub","FLUB","UB",3,1.7615425,0.140179098170728
"176","Trøndelag","hi_tydal","HIUB","UB",3,1.313215375,0.104502359137764
"177","Hedmark","halvard_pramhus","HPUB","UB",3,0.7895905,0.0628336155467006
"178","Trøndelag","selbu_kl","KLUB","UB",3,0.180663533333333,0.0143767471832237
"179","Trøndelag","singsaas","LAUB","UB",3,0.1172074,0.00932706853847451
"180","Trøndelag","malvik","MAUB","UB",3,0.570476975,0.0453971152456808
"181","Hedmark","stig_dahlen","SDUB","UB",3,9.00862185,0.716883348936578
"182","Trøndelag","sl_tydal","SEUB","UB",3,2.2253846,0.17709047968529
"183","Trøndelag","selbu_sl","SLUB","UB",3,0.922666366666667,0.0734234565398196
"184","Hedmark","stangeskovene_aurskog","SSAUB","UB",3,1.35055763333333,0.107473961637746
"185","Hedmark","stangeskovene_eidskog","SSBUB","UB",3,0.426881225,0.0339701285359368
"186","Hedmark","eidskog","STSKNUB","UB",3,0.1172074,0.00932706853847451
"187","Hedmark","truls_holm","THUB","UB",3,2.198178375,0.17492547708948
"188","Trøndelag","steinkjer_1bbb","1BBB","B",4,1.32651393,0.105560624519878
"189","Telemark","nome_cappelen1","1CAB","B",4,0.1970608,0.0156816002048217
"190","Telemark","drangedal1","1DRB","B",4,0.69295415,0.0551435391542714
"191","Telemark","fritsoe1","1FRB","B",4,0.04156698,0.00330779516820098
"192","Telemark","furesdal","1FYB","B",4,0.4404,0.0350459184688353
"193","Trøndelag","namdalseid_1kub","1KB","B",4,1.39836766,0.111278562674423
"194","Telemark","kviteseid1","1KVB","B",4,2.29504616,0.182633970494036
"195","Trøndelag","nsb_verdal","1NSB","B",4,1.21441108,0.0966397631637836
"196","Trøndelag","sub_namdalseid","1SB","B",4,0.64826898,0.0515876063100705
"197","Trøndelag","verdal_1vb","1VBB","B",4,0.73594176,0.0585643844658747
"198","Trøndelag","steinkjer_2bbb","2BBB","B",4,1.31117894,0.104340304789496
"199","Telemark","nome_cappelen2","2CAB","B",4,1.192835,0.0949227932715105
"200","Telemark","fritsoe2","2FRB","B",4,0.59130094,0.0470542337279421
"201","Telemark","kviteseid2","2KVB","B",4,1.74392415,0.138777074424916
"202","Trøndelag","verdal_2vb","2VBB","B",4,6.30151729333333,0.50145881310653
"203","Telemark","drangedal3","3DRB","B",4,0.035295,0.00280868685821422
"204","Telemark","kviteseid3","3KVB","B",4,1.13743661,0.0905143294675942
"205","Telemark","notodden3","3NOB","B",4,0.21307356,0.0169558551580938
"206","Telemark","drangedal4","4DRB","B",4,3.77573395,0.300463360971194
