"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Pine_Biomass_kg","Mean_Plot_Pine_Biomass_kg_m2"
"300","Telemark","nome_cappelen1","1CAB","B",7,2.7464,0.218551567853791
"301","Telemark","drangedal1","1DRB","B",7,3.759135,0.299142458499876
"302","Telemark","fritsoe1","1FRB","B",7,0.75526,0.0601016811597924
"303","Telemark","furesdal","1FYB","B",7,1.012735,0.0805908906460853
"304","Telemark","kviteseid1","1KVB","B",7,2.23145,0.177573148881205
"305","Trøndelag","nsb_verdal","1NSB","B",7,0.30897,0.0245870513835515
"306","Trøndelag","sub_namdalseid","1SB","B",7,0.27464,0.0218551567853791
"307","Trøndelag","verdal_1vb","1VBB","B",7,0.54928,0.0437103135707581
"308","Telemark","nome_cappelen2","2CAB","B",7,4.789035,0.381099296445047
"309","Telemark","kviteseid2","2KVB","B",7,2.0598,0.163913675890343
"310","Trøndelag","verdal_2vb","2VBB","B",7,0.27464,0.0218551567853791
"311","Telemark","drangedal3","3DRB","B",7,0.320413333333333,0.0254976829162756
"312","Telemark","notodden3","3NOB","B",7,6.471205,0.514962131755494
"313","Telemark","drangedal4","4DRB","B",7,0.27464,0.0218551567853791
"314","Telemark","notodden5","5NOB","B",7,0.72093,0.0573697865616201
"315","Telemark","notodden6","6NOB","B",7,4.274085,0.340120877472462
"316","Trøndelag","bratsberg","BRB","B",7,0.3433,0.0273189459817238
"317","Hedmark","didrik_holmsen","DHB","B",7,0.89258,0.071029259552482
"318","Trøndelag","hi_tydal","HIB","B",7,0.06866,0.00546378919634477
"319","Hedmark","halvard_pramhus","HPB","B",7,11.552045,0.919282532285007
"320","Trøndelag","selbu_kl","KLB","B",7,3.36434,0.267725670620894
"321","Trøndelag","singsaas","LAB","B",7,1.30454,0.103811994730551
"322","Hedmark","stig_dahlen","SDB","B",7,0.120155,0.00956163109360334
"323","Trøndelag","sl_tydal","SEB","B",7,0.85825,0.0682973649543096
"324","Hedmark","stangeskovene_aurskog","SSAB","B",7,2.44887333333333,0.194875148002963
"325","Hedmark","stangeskovene_eidskog","SSBB","B",7,1.27021,0.101080100132378
"326","Hedmark","eidskog","STSKNB","B",7,9.2691,0.737611541506544
"327","Hedmark","truls_holm","THB","B",7,4.857695,0.386563085641392
"328","Telemark","nome_cappelen1","1CAUB","UB",7,1.6931079375,0.134733248720624
"329","Telemark","drangedal1","1DRUB","UB",7,0.93541875,0.0744382589616709
"330","Telemark","fritsoe1","1FRUB","UB",7,1.1723915,0.0932959512319609
"331","Telemark","furesdal","1FYUB","UB",7,0.7951059375,0.0632725201174203
"332","Telemark","kviteseid1","1KVUB","UB",7,0.93541875,0.0744382589616709
"333","Trøndelag","verdal_1vb","1VBUB","UB",7,0.149667,0.0119101214338674
"334","Telemark","nome_cappelen2","2CAUB","UB",7,3.741675,0.297753035846684
"335","Telemark","kviteseid2","2KVUB","UB",7,0.18708375,0.0148876517923342
"336","Trøndelag","verdal_2vb","2VBUB","UB",7,0.33675075,0.0267977732262015
"337","Telemark","drangedal3","3DRUB","UB",7,0.16213925,0.0129026315533563
"338","Telemark","notodden3","3NOUB","UB",7,2.83120075,0.225299797123991
"339","Telemark","notodden5","5NOUB","UB",7,0.46147325,0.036722874421091
"340","Telemark","notodden6","6NOUB","UB",7,2.3198385,0.184606882224944
