"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Month","Mean_Plot_Albedo","Delta_Albedo","Mean_Plot_Biomass_kg_m2","Mean_Plot_Biomass_kg_ha","Delta_Biomass_kg_m2","Delta_Biomass_kg_ha"
"171","Trøndelag","verdal_2vb","2VBUB","UB",3,1,0.42653640328998,0.0858398617886415,0.104048703887974,1040.48703887974,0.0283513910605897,283.513910605897
"172","Telemark","drangedal3","3DRUB","UB",3,1,0.440055466032044,0.0923404993520283,0.010991214507248,109.91214507248,0.00581382761515232,58.1382761515232
"173","Telemark","kviteseid3","3KVUB","UB",3,1,0.437303899857273,0.09426384903672,0.23205787709045,2320.5787709045,0.0226876545145202,226.876545145202
"174","Telemark","notodden3","3NOUB","UB",3,1,0.417582367371452,0.0745410432690985,0.0642393376555022,642.393376555022,0.0256208870787326,256.208870787326
"175","Telemark","drangedal4","4DRUB","UB",3,1,0.447258850954573,0.0992693845100215,0.145398025497689,1453.98025497689,0.0884360774566151,884.360774566151
"176","Telemark","notodden5","5NOUB","UB",3,1,0.402776845931286,0.0687316564404828,0.0312415533130463,312.415533130463,0.0123693898795557,123.693898795557
"177","Telemark","notodden6","6NOUB","UB",3,1,0.424884401106552,0.0773345060527263,0.034308827165049,343.08827165049,0.00672208840236998,67.2208840236997
"178","Trøndelag","bratsberg","BRUB","UB",3,1,0.450085784836769,0.102011829031596,0.0976779712431388,976.779712431388,0.00947660853356687,94.7660853356687
"179","Hedmark","didrik_holmsen","DHUB","UB",3,1,0.410080361058075,NA,0.0607310394878815,607.310394878814,NA,NA
"180","Hedmark","fet_3","FKUB","UB",3,1,0.433135870795606,0.0892380887917553,0.0713594921333401,713.594921333401,0.0241918607073887,241.918607073887
"181","Trøndelag","selbu_flub","FLUB","UB",3,1,0.437302447561734,0.0924052843477985,0.156634167525734,1566.34167525734,0.0673603700684079,673.603700684079
"182","Trøndelag","hi_tydal","HIUB","UB",3,1,0.440401460907818,0.0958004163249173,0.094213424769374,942.13424769374,0.0124893340182617,124.893340182617
"183","Hedmark","halvard_pramhus","HPUB","UB",3,1,0.4319949981903,NA,0.0630948773382515,630.948773382515,NA,NA
