LocalityName,Years_Since_Exclosure,Delta_C,Delta_A,RF_Delta_C,RF_Delta_A,Net_RF,C_Eq_Delta_C,C_Eq_Delta_A,Net_C_Eq
maarud_3,8,1.777370616,-0.009222179,-1.14E-15,1.31E-15,1.72E-16,-0.651702559,0.750259658,0.098557098
maarud_3,9,2.107679385,-0.008883358,-1.35E-15,1.28E-15,-7.37E-17,-0.772815775,0.73068118,-0.042134595
maarud_3,10,2.586697375,-0.007703513,-1.66E-15,1.09E-15,-5.67E-16,-0.948455704,0.624286544,-0.32416916
maarud_3,11,1.469789547,-0.00731692,-9.43E-16,1.01E-15,6.47E-17,-0.538922834,0.575876783,0.03695395
malvik,1,-0.38996982,0.002698939,2.50E-16,-2.18E-16,3.23E-17,0.142988934,-0.12454123,0.018447704
malvik,2,-0.258914378,0.00435448,1.66E-16,-3.83E-16,-2.17E-16,0.094935272,-0.219000884,-0.124065612
malvik,3,-0.327120352,0.004670125,2.10E-16,-3.97E-16,-1.87E-16,0.119944129,-0.226975687,-0.107031558
malvik,4,0.178809781,0.004349246,-1.15E-16,-3.92E-16,-5.07E-16,-0.065563586,-0.22391373,-0.289477316
malvik,5,0.190661395,0.005095199,-1.22E-16,-4.58E-16,-5.80E-16,-0.069909178,-0.261744743,-0.331653921
malvik,6,0.085362534,0.005856891,-5.48E-17,-5.51E-16,-6.05E-16,-0.031299596,-0.314696205,-0.345995801
malvik,7,1.26608082,0.003340837,-8.12E-16,-2.24E-16,-1.04E-15,-0.464229634,-0.128049598,-0.592279232
malvik,8,2.172207127,-0.004492158,-1.39E-15,7.22E-16,-6.71E-16,-0.796475947,0.412804508,-0.383671439
malvik,9,2.467527363,-0.003883037,-1.58E-15,6.63E-16,-9.21E-16,-0.904760033,0.378749132,-0.526010902
malvik,10,2.446883304,-0.006917614,-1.57E-15,1.04E-15,-5.28E-16,-0.897190545,0.5953294,-0.301861145
malvik,11,2.437645578,-0.004678636,-1.56E-15,7.85E-16,-7.79E-16,-0.893803379,0.448741623,-0.445061756
namdalseid_1kub,1,0.345041157,-0.00943206,-2.21E-16,9.33E-16,7.12E-16,-0.126515091,0.533218657,0.406703566
namdalseid_1kub,2,0.369654809,-0.000451149,-2.37E-16,-3.93E-17,-2.77E-16,-0.135540097,-0.022479867,-0.158019964
namdalseid_1kub,3,0.928114715,-0.003473896,-5.96E-16,3.24E-16,-2.72E-16,-0.340308729,0.184918222,-0.155390507
namdalseid_1kub,4,1.329246353,-0.003935154,-8.53E-16,4.14E-16,-4.39E-16,-0.487390329,0.236563634,-0.250826695
namdalseid_1kub,5,2.059054222,-0.008239122,-1.32E-15,9.39E-16,-3.82E-16,-0.754986548,0.536809315,-0.218177233
namdalseid_1kub,6,3.336544809,-0.011591683,-2.14E-15,1.35E-15,-7.92E-16,-1.223399763,0.770691484,-0.452708279
namdalseid_1kub,7,2.92573837,-0.012611352,-1.88E-15,1.47E-15,-4.05E-16,-1.072770736,0.84114755,-0.231623186
namdalseid_1kub,8,3.900003656,-0.017966562,-2.50E-15,2.16E-15,-3.46E-16,-1.430001341,1.232154492,-0.197846848
namdalseid_1kub,9,4.360150594,-0.019628084,-2.80E-15,2.38E-15,-4.14E-16,-1.598721885,1.361971787,-0.236750098
namdalseid_1kub,10,4.936191251,-0.020429359,-3.17E-15,2.48E-15,-6.86E-16,-1.809936792,1.417855735,-0.392081057
namdalseid_1kub,11,3.652133269,-0.01710827,-2.34E-15,2.12E-15,-2.19E-16,-1.339115532,1.214204567,-0.124910965
nes_1,2,3.732935124,-0.024597308,-2.40E-15,3.91E-15,1.52E-15,-1.368742879,2.236785639,0.86804276
nes_1,3,4.261606953,-0.02592668,-2.73E-15,4.15E-15,1.41E-15,-1.562589216,2.36884167,0.806252454
nes_1,4,5.052271438,-0.027581347,-3.24E-15,4.41E-15,1.16E-15,-1.852499527,2.517147655,0.664648128
nes_1,5,4.961487468,-0.027234263,-3.18E-15,4.35E-15,1.17E-15,-1.819212072,2.487671765,0.668459693
nes_1,6,7.619956883,-0.035755735,-4.89E-15,5.72E-15,8.26E-16,-2.793984191,3.265961689,0.471977498
nes_1,7,9.357205073,-0.033534304,-6.00E-15,5.35E-15,-6.49E-16,-3.430975193,3.0599531,-0.371022093
nes_2,2,-1.801652229,0.008662553,1.16E-15,-1.57E-15,-4.17E-16,0.660605817,-0.899076471,-0.238470654
nes_2,3,-1.859884539,0.00862046,1.19E-15,-1.53E-15,-3.37E-16,0.681957664,-0.874272648,-0.192314984
nes_2,4,-1.446001885,0.00654336,9.28E-16,-1.21E-15,-2.82E-16,0.530200691,-0.691481307,-0.161280616
nes_2,5,-5.085478443,0.018396743,3.26E-15,-3.17E-15,8.82E-17,1.864675429,-1.814257744,0.050417685
nes_2,6,-6.952020719,0.018320138,4.46E-15,-3.16E-15,1.30E-15,2.549074264,-1.805147444,0.743926819
nes_2,7,-9.67451362,0.020721931,6.21E-15,-3.58E-15,2.62E-15,3.547321661,-2.047945091,1.49937657
nome_cappelen1,1,0.409506047,-0.004920186,-2.63E-16,8.25E-16,5.63E-16,-0.150152217,0.47166933,0.321517112
nome_cappelen1,2,-0.210732293,0.000961006,1.35E-16,-3.96E-17,9.57E-17,0.077268507,-0.022606012,0.054662496
nome_cappelen1,3,0.336548451,-0.007615375,-2.16E-16,1.13E-15,9.13E-16,-0.123401099,0.645090291,0.521689192
nome_cappelen1,4,0.134242838,-0.00505755,-8.61E-17,8.04E-16,7.18E-16,-0.049222374,0.459293,0.410070626
nome_cappelen1,5,-0.033435955,-0.004063799,2.15E-17,6.03E-16,6.24E-16,0.01225985,0.344499083,0.356758933
nome_cappelen1,6,-0.143444833,-0.002850383,9.20E-17,4.56E-16,5.48E-16,0.052596439,0.260775197,0.313371636
nome_cappelen1,7,-0.166602292,-0.003535888,1.07E-16,5.85E-16,6.92E-16,0.061087507,0.334138879,0.395226386
