"","LocalityName","LocalityCode","Plot","Year","Prop_spruce","Prop_pine","Prop_birch","Prop_decid"
"199","Drangedal1","1DRUB","ØV",2010,0.1875,0.03125,0,0.78125
"200","Drangedal1","1DRUB","NH",2011,0.142857142857143,0,0,0.857142857142857
"201","Drangedal1","1DRUB","NV",2011,0.333333333333333,0,0,0.666666666666667
"202","Drangedal1","1DRUB","ØH",2011,0.117647058823529,0,0.0588235294117647,0.823529411764706
"203","Drangedal1","1DRUB","ØV",2011,0.170731707317073,0.024390243902439,0,0.804878048780488
"204","Drangedal1","1DRUB","NH",2012,0.142857142857143,0,0,0.857142857142857
"205","Drangedal1","1DRUB","NV",2012,0.4,0,0,0.6
"206","Drangedal1","1DRUB","ØH",2012,0.125,0,0.0625,0.8125
"207","Drangedal1","1DRUB","ØV",2012,0.25,0.0357142857142857,0.0357142857142857,0.678571428571429
"208","Drangedal1","1DRUB","NH",2013,0.125,0,0,0.875
"209","Drangedal1","1DRUB","NV",2013,0.4,0,0,0.6
"210","Drangedal1","1DRUB","ØH",2013,0.0555555555555556,0,0.0555555555555556,0.888888888888889
"211","Drangedal1","1DRUB","ØV",2013,0.266666666666667,0.0333333333333333,0.0333333333333333,0.666666666666667
"212","Drangedal1","1DRUB","NH",2014,0.111111111111111,0,0,0.888888888888889
"213","Drangedal1","1DRUB","NV",2014,0.307692307692308,0,0.230769230769231,0.461538461538462
"214","Drangedal1","1DRUB","ØH",2014,0.0666666666666667,0,0.0666666666666667,0.866666666666667
"215","Drangedal1","1DRUB","ØV",2014,0.212121212121212,0.0303030303030303,0.0303030303030303,0.727272727272727
"216","Drangedal1","1DRUB","NH",2015,0.125,0,0,0.875
"217","Drangedal1","1DRUB","NV",2015,0.307692307692308,0,0.230769230769231,0.461538461538462
"218","Drangedal1","1DRUB","ØH",2015,0.125,0,0.0625,0.8125
"219","Drangedal1","1DRUB","ØV",2015,0.275862068965517,0.0344827586206897,0.0689655172413793,0.620689655172414
"220","Drangedal1","1DRUB","NH",2016,0.125,0,0,0.875
"221","Drangedal1","1DRUB","NV",2016,0.25,0,0.25,0.5
"222","Drangedal1","1DRUB","ØH",2016,0.125,0,0.0625,0.8125
"223","Drangedal1","1DRUB","ØV",2016,0.266666666666667,0.0333333333333333,0.0666666666666667,0.633333333333333
"224","Drangedal1","1DRUB","NH",2017,0.125,0,0,0.875
"225","Drangedal1","1DRUB","NV",2017,0.285714285714286,0,0.285714285714286,0.428571428571429
"226","Drangedal1","1DRUB","ØH",2017,0.1,0,0.05,0.85
