LocalityName,LocalityCode,ExperimentID,Region,DistrictID,Treatment,Longitude,Latitude,Clear.cut,Year.initiated,LiDAR.data.from.year,Point.density...m.2.,Resolution..m.,Mean,Median,SD,Min,Max,X1st.Qu.,X3rd.Qu.,IQR,ClearCutToLidar,CV,IQR_med,MAD,MAD_med,productivity,diff_median_ex_op
Notodden3,3NOB,{B904F9DB-5F92-4886-B4A5-C5D99FE8E757},Telemark,807,Open plot,9080254,59676721,2002,2009,2017,5,0.25,0.888706699265361,0.554000020027161,0.812924431167393,-0.068000003695488,3.28200006484985,0.185000002384186,1.44099998474121,1.25599998235702,15,0.914727470648514,2.26714790063626,0.710165358996391,1.28188688325602,0.14243035474986,
Notodden3,3NOUB,{19DDB1ED-1B2C-4ED5-999A-41A3DC3947FF},Telemark,807,Exclosure,9080717,59677287,2002,2009,2017,5,0.25,1.12241627908268,1.16299998760223,0.928418847899155,-0.100000001490116,4.09100008010864,0.212249998003244,1.79875001311302,1.58650001510978,15,0.827160889592519,1.36414448153235,1.31803139787912,1.13330301971586,0.14243035474986,
Notodden5,5NOB,{6B9FC135-1645-4D40-9236-E7C702EA5024},Telemark,807,Open plot,8970883,59694837,2007,2009,2017,2,0.5,0.406247421944893,0.218999996781349,0.51889328648984,-0.579999983310699,2.7039999961853,0.0949999988079071,0.461249992251396,0.366249993443489,10,1.27728388774914,1.67237442386429,0.223872589749098,1.02224928328476,0.119776917028699,
Notodden5,5NOUB,{7342BD69-A5CE-4A8D-82D7-9E844C414A91},Telemark,807,Exclosure,8970475,59694495,2007,2009,2017,2,0.5,0.643162291463096,0.25,0.785294150948776,-0.190999999642372,3.49499988555908,0.091499999165535,1.08300000429153,0.991500005125995,10,1.2209891055061,3.96600002050398,0.323206797746569,1.29282719098628,0.119776917028699,
Notodden6,6NOB,{2794FC4A-44B8-4385-8623-C70616E46628},Telemark,807,Open plot,9010986,5955497,2003,2009,2017,2,0.5,0.664381176672657,0.230000004172325,0.861165651531926,-0.103000000119209,4.72499990463257,0.112000003457069,1.08800005912781,0.976000055670741,14,1.29619212850792,4.24347842593726,0.234250810781121,1.01848176752906,0.106105682858758,
Notodden6,6NOUB,{739EBAA5-D414-4753-93CF-5A96CFD3A9E4},Telemark,807,Exclosure,9011906,59554755,2003,2009,2017,2,0.5,1.03620902460949,0.745000004768372,1.05496989236954,-0.158999994397163,4.94199991226196,0.12899999320507,1.69700002670288,1.56800003349781,14,1.01810529276863,2.10469801806957,0.984446406716108,1.32140456431565,0.106105682858758,
Nsb_Verdal,1NSB,{458C6729-4246-48A6-99BF-6BD563D4CAC1},Trondelag,1721,Open plot,11577472,63843674,2006,2008,2015,2,0.5,0.0569086417820259,0.0240000002086163,0.0914583654252906,-0.0890000015497208,0.560000002384186,0.00100000004749745,0.0850000008940697,0.0840000008465722,9,1.60710856139562,3.50000000485063,0.0459606006296352,1.91502500958874,NA,
Nsb_Verdal,1NSUB,{E8CDF86B-92A0-403D-BE65-093281A19FAA},Trondelag,1721,Exclosure,1157849,63843925,2006,2008,2015,2,0.5,0.13729629590475,0.0920000001788139,0.212901281945402,-0.0989999994635582,2.76699995994568,0.046000000089407,0.175999999046326,0.129999998956919,9,1.55067025328275,1.4130434641766,0.0889559980116785,0.96691301998675,NA,
Selbu_Flub,FLB,{D701FCEB-1D2B-4CAF-A5F6-2947B5CAA2FE},Trondelag,1664,Open plot,11038617,63254449,2004,2008,2015,2,0.5,1.66651620670287,1.70199996232986,1.37705528518737,-0.00700000021606684,5.87599992752075,0.0930000022053719,2.77724999189377,2.6842499896884,11,0.826307766854434,1.57711518748446,2.03857495581508,1.19775264449741,0.271341571962914,
Selbu_Flub,FLUB,{9B4F9B67-39BA-45B2-9320-ED5C8EBFFB3F},Trondelag,1664,Exclosure,11038505,632549,2004,2008,2015,2,0.5,1.40290329890915,1.33149999380112,1.35741687771426,-0.0590000003576279,5.52400016784668,0.0729999989271164,2.48925006389618,2.41625006496906,11,0.967576937604852,1.81468274593921,1.84731964873597,1.38739741444707,0.271341571962914,
